url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,fruits_vegetables_nuts_percent,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g
https://world.openfoodfacts.org/product/0078742133218/whole-natural-almonds-wal-mart-stores-inc,Whole Natural Almonds – Wal-Mart Stores  Inc.,78742133218.0,Wal-Mart Stores  Inc.,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0079003015007/almonds-anton-argires-brothers-co,Almonds – Anton-Argires Brothers Co,79003015007.0,Anton-Argires Brothers Co,,73 g,A,,Almonds .,Nuts,,,,,,,,,,,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,,,,,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0080948626784/whole-natural-almonds-navy-exchange-service-command,Whole Natural Almonds – Navy Exchange Service Command,80948626784.0,Navy Exchange Service Command,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0081864202106/unsalted-roasted-peanuts-hampton-farms,Unsalted Roasted Peanuts – Hampton Farms,81864202106.0,Hampton Farms,,0.5 cup (30 g),A,3.0,"Peanuts , salt.",Peanuts,,2.356,563.0,50.0,6.33,16.67,3.33,10.0,26.67,0.025,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Snacks, Legumes, Nuts and their products, Nuts, Roasted nuts, Peanuts, Roasted peanuts",,yes,yes,high,high,low,low,[],,,United States,,,E,28.0,416.0,
https://world.openfoodfacts.org/product/0086700682159/organic-premium-raw-sunflower-seeds-sunridge-farms,Organic Premium Raw Sunflower Seeds – Sunridge Farms,86700682159.0,Sunridge Farms,,0.25 cup (30 g),A,,Organic raw sunflower seeds.,,,2.372,567.0,50.0,5.0,20.0,3.33,10.0,23.33,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Seeds, Sunflower seeds and their products, Sunflower seeds",,yes,yes,high,moderate,low,low,[],,,United States,,,D,43.0,325.0,
https://world.openfoodfacts.org/product/0087132500325/raw-sunflower-seed-harvest-fresh,Raw Sunflower Seed – Harvest Fresh,87132500325.0,Harvest Fresh,,0.25 C (40 g),A,,Sunflower kernels.,,,2.615,625.0,57.5,6.25,15.0,2.5,7.5,22.5,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Seeds, Sunflower seeds and their products, Sunflower seeds",,yes,yes,high,high,low,low,[],,,United States,,,D,43.0,325.0,
https://world.openfoodfacts.org/product/0099482454852/365-everyday-value-almonds,"365 everyday value, almonds",99482454852.0,"365 Everyday Value , Whole Foods Market  Inc.",,0.25 cup (28 g),A,,Organic almonds (steam pasteurized).,Nuts,,2.389,571.0,50.0,12.5,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,unknown,unknown,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0099482454876/almonds-roasted-unsalted-365-whole-foods-market,Almonds Roasted & Unsalted – 365 Whole Foods Market,99482454876.0,365 Whole Foods Market,,1/4 cup (28 g),A,,"Organic almonds, organic expeller pressed canola oil.",Nuts,,2.54,607.0,53.57,14.29,17.86,0.0,10.7,21.43,0.0,https://images.openfoodfacts.org/images/products/009/948/245/4876/front_en.6.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/05084777/whole-almonds-unsalted-shoprite,Whole almonds unsalted – Shoprite,5084777.0,Shoprite,,1 ONZ (28 g),A,3.0,"Almonds , peanut and/or canola and/or cottonseed oil.","Nuts, Peanuts",,2.54,607.0,53.57,3.57,17.86,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0619128670431/nature-s-harvest-raw-sunflower-seeds,"Nature's harvest, raw sunflower seeds",619128670431.0,"Nature's Harvest , Troy International Import/Export Corp.",,1 ONZ (28 g),A,,Raw sunflower seeds.,,,2.406,575.0,50.0,3.57,17.86,3.57,10.7,21.43,0.01,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Seeds, Sunflower seeds and their products, Sunflower seeds",,yes,yes,high,moderate,low,low,[],,,United States,,,D,43.0,325.0,
