url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g,additives_count,sugar_ratio,energy_density,protein_ratio,macro_balance,healthy_score,log_energy_kcal_100g,log_fat_100g,log_sugars_100g,log_salt_100g,brand_cleaned,allergens_cleaned,ingredients_text_cleaned,countries_cleaned,additives_cleaned
https://world.openfoodfacts.org/product/0076991004006/whole-natural-california-almonds-mariani-nut-company,Whole natural california almonds – Mariani Nut Company,76991004006.0,Mariani Nut Company,,1 ONZ (28 g),1.0,4.0,Whole almonds.,Nuts,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,mariani nut,tree_nuts,whole almonds.,united states,
https://world.openfoodfacts.org/product/0077890358009/walnut-halves-pieces-wegmans,Walnut Halves & Pieces – Wegmans,77890358009.0,Wegmans,,0.25 cup (30 g),1.0,4.0,Walnuts*,Nuts,,700.0,66.67,5.0,10.0,0.0,10.0,16.67,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels, Walnuts halves and pieces",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,1.0,13.0,416.0,0,0.0,7.0,1.5154545454545456,3.0010000000000003,5.4175,6.55250788703459,4.214642950244135,0.0,0.0,wegmans,tree_nuts,walnuts*,united states,
https://world.openfoodfacts.org/product/0077890392874/almonds-wegmans,Almonds – Wegmans,77890392874.0,"Wegmans , Wegmans Food Markets  Inc.",,28 g (28 g),1.0,4.0,Sprouted almonds.,,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,0.0,0.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,wegmans | wegmans food markets,,sprouted almonds.,united states,
https://world.openfoodfacts.org/product/0078264049080/whole-natural-almonds-hines-nut-company,Whole natural almonds – Hines Nut Company – 8 oz,78264049080.0,Hines Nut Company,8 oz,1 ONZ (28 g),1.0,4.0,Almonds,Nuts,,575.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://images.openfoodfacts.org/images/products/007/826/404/9080/front_en.9.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.75,0.9554168524297816,3.93,6.247499999999999,6.356107660695892,3.9318256327243257,1.5195132049061133,0.0,hines nut,tree_nuts,almonds,united states,
https://world.openfoodfacts.org/product/0078742098586/natural-whole-almonds-wal-mart-stores-inc,Natural whole almonds – Wal-Mart Stores  Inc.,78742098586.0,Wal-Mart Stores  Inc.,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,607.0,50.0,12.5,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Whole almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,6.07,0.9554168524297816,0.3579999999999994,4.915000000000001,6.410174881966167,3.9318256327243257,1.5195132049061133,0.0,wal-mart stores,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0078742133218/whole-natural-almonds-wal-mart-stores-inc,Whole Natural Almonds – Wal-Mart Stores  Inc.,78742133218.0,Wal-Mart Stores  Inc.,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,12.5,21.43,3.57,14.3,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,0.3579999999999994,4.915000000000001,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,wal-mart stores,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0080948626784/whole-natural-almonds-navy-exchange-service-command,Whole Natural Almonds – Navy Exchange Service Command,80948626784.0,Navy Exchange Service Command,,1 ONZ (28 g),1.0,4.0,Almonds .,Nuts,,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,5.0,19.0,269.0,0,0.1665888940737284,5.71,0.9554168524297816,3.93,6.247499999999999,6.349138991379798,3.9318256327243257,1.5195132049061133,0.0,navy exchange service command,tree_nuts,almonds.,united states,
https://world.openfoodfacts.org/product/0081864202106/unsalted-roasted-peanuts-hampton-farms,Unsalted Roasted Peanuts – Hampton Farms,81864202106.0,Hampton Farms,,0.5 cup (30 g),1.0,3.0,"Peanuts , salt.",Peanuts,,563.0,50.0,6.33,16.67,3.33,10.0,26.67,0.025,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Snacks, Legumes, Nuts and their products, Nuts, Roasted nuts, Peanuts, Roasted peanuts",0,1.0,1.0,2.0,2.0,0.0,0.0,[],,,United States,,,5.0,28.0,416.0,0,0.1997600479904019,5.63,1.5093378607809846,4.47,6.752500000000001,6.335054251498059,3.9318256327243257,1.4655675420143983,0.0246926125903715,hampton farms,peanuts,"peanuts, salt.",united states,
https://world.openfoodfacts.org/product/0086700682159/organic-premium-raw-sunflower-seeds-sunridge-farms,Organic Premium Raw Sunflower Seeds – Sunridge Farms,86700682159.0,Sunridge Farms,,0.25 cup (30 g),1.0,4.0,Organic raw sunflower seeds.,,,567.0,50.0,5.0,20.0,3.33,10.0,23.33,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Seeds, Sunflower seeds and their products, Sunflower seeds",0,1.0,1.0,2.0,1.0,0.0,0.0,[],,,United States,,,4.0,43.0,325.0,0,0.1665,5.67,1.110952380952381,4.0,6.25,6.342121418721152,3.9318256327243257,1.4655675420143983,0.0,sunridge farms,,organic raw sunflower seeds.,united states,
https://world.openfoodfacts.org/product/0087132500325/raw-sunflower-seed-harvest-fresh,Raw Sunflower Seed – Harvest Fresh,87132500325.0,Harvest Fresh,,0.25 C (40 g),1.0,4.0,Sunflower kernels.,,,625.0,57.5,6.25,15.0,2.5,7.5,22.5,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Seeds, Sunflower seeds and their products, Sunflower seeds",0,1.0,1.0,2.0,2.0,0.0,0.0,[],,,United States,,,4.0,43.0,325.0,0,0.1666666666666666,6.25,1.40625,3.5,5.3125,6.439350371100098,4.069026754237811,1.252762968495368,0.0,harvest fresh,,sunflower kernels.,united states,
